home team,away team,time,home team logo,away team logo,home team score,away team score
Nigeria,Equatorial Guinea, ,p8yjKG76-CEPH9Bbd.png,v5mNuVkC-MkIn82HE.png,1,1
Egypt,Mozambique, ,SKagcEU0-j9fRtEHh.png,23xLiK5k-bZwMpPQJ.png,2,2
Ghana,Cape Verde, ,OzvG52Rq-8vfTQDSH.png,vRSce5lC-GvK8wiCN.png,1,2
Everton,Aston Villa, ,EBfZuwme-bRmKmISE.png,UHchCEVH-f3IHLYBR.png,0,0
Manchester Utd,Tottenham, ,GhGV3qjT-h2pPXz3k.png,v3SzDxVH-SOY3p1Si.png,2,2
Lille,Lorient, ,Q34pXImC-UDticXKP.png,0r9EzUS0-GU4hlIMk.png,3,0
Brest,Montpellier, ,lWu2w4ne-Q15G9lAm.png,ANGNZlQq-n3xBmVJB.png,2,0
Metz,Toulouse, ,SCdF7fjT-pztT5vMl.png,AskYUH8k-COxgbCEm.png,0,1
Nantes,Clermont, ,vTVURLne-AmtNBe9p.png,WSP3LX96-pztT5vMl.png,1,2
Le Havre,Lyon, ,SdQTDNR0-W0g3UmAF.png,bkuX6RS0-GU4hlIMk.png,3,1
Lens,PSG, ,tAec9KQq-rTEFAmVL.png,fJgGn26k-06Ua3sOf.png,0,2
Bochum,Werder Bremen, ,IRiimykC-86lnAaq9.png,pIavfLS0-EVomMG4o.png,1,1
B. Monchengladbach,Stuttgart, ,tjlAHwhT-ncmj9JbF.png,fgQWGn86-86lnAaq9.png,3,1
Lazio,Lecce, ,4CLpo27k-fL3dmxxd.png,fPabg0DN-McvX4bye.png,1,0
Cagliari,Bologna, ,tSQII3hT-McvX4bye.png,6ovaa9T0-McvX4bye.png,2,1
Fiorentina,Udinese, ,fZhEFLjT-6XKdgOM6.png,277EtfPq-SYw7EcY6.png,2,2
AC Milan,AS Roma, ,WOOHTbSq-fL3dmxxd.png,j31Z1pne-GtNb9h2q.png,3,1
FC Volendam,Almere City, ,8tDUPO86-WYtEUtB2.png,xGubPZ7k-tWILcQKb.png,0,1
G.A. Eagles,Ajax, ,4IPDw4ne-x4Xh4Pu0.png,ltb3XckC-tSCQr0DR.png,2,3
Vitesse,Utrecht, ,0SkRbu96-hxcLpNd6.png,hWQdBH7k-4vob7cTR.png,0,0
Feyenoord,Nijmegen, ,Ag6J0jT0-nB6CAUfs.png,C8FCtESq-4vob7cTR.png,2,2
Almeria,Girona, ,Eeg4cBjC-nDyT2xMM.png,6mZj79BN-djmU7Ny0.png,0,0
Cadiz CF,Valencia, ,rPA6TR86-EPWyZtpb.png,8Cqphq8k-MHrRLNUo.png,1,4
Laci,Erzeni, ,2ogjpF86-YRn3qYc4.png,xKwIrSS0-vqMNBv4d.png,0,0
Vllaznia,Kukesi, ,Q78gNKWH-G4kYWTwf.png,vJ05JXkC-xYAyYwqs.png,1,0
CR Belouizdad,MC Alger, ,0Occ50UH-vqICnGZu.png,zFDoTHWH-Kt2RJAvf.png,0,0
Swetes,Old Road, ,xbtOuM6k-ziRKnlD8.png,IPg8ycU0-2yEAQVQ9.png,1,2
Willikies,Pigotts Bullets, ,tGvDfigT-4ruBg6AA.png,GMbRNJAN-hWRDQlwN.png,2,2
Garden Stars,SAP, ,fsLVZCjC-hQtlrsIn.png,bafluKme-hYzo4N02.png,2,2
Japan,Vietnam, ,Y7SDT7T0-8toS1iya.png,OQqA57Sq-QHeKqeWC.png,4,2
United Arab Emirates,Hong Kong, ,fVKVX0Sq-CrPl0Jrc.png,OSAjjpVH-48fOrFoJ.png,3,1
Iran,Palestine, ,0OVmBa6k-h2ICxBRT.png,tOZ9KJoe-zmDbXBOa.png,4,1
Brisbane Roar,Newcastle Jets, ,W08GpqiT-OlyE5V4J.png,G2fVyzjC-AowXufJO.png,3,2
Perth Glory,Wellington Phoenix, ,0jIjO4ne-8p3P7cak.png,2ciQ1Pne-rL2rkgzd.png,3,4
Western United W,Sydney W, ,rF7cRGlC-rVwoyUR4.png,QFUq55me-YsqukyWF.png,0,1
WS Wanderers W,Melbourne City W, ,WI5NtpXH-0KRH1UJH.png,Gj3XDB6k-ddlFUp3p.png,1,0
Al Reef,Al-Hala, ,8Ejuh6UH-bqygZ7dH.png,CGgc1xXH-lCxMaEY9.png,0,1
Al-Ittifaq,Al Khalidiyah, ,Wvy5IaPq-SMLhMD1s.png,WC7rnk8k-AmlZEVJN.png,2,2
Al-Najma,Al Riffa, ,YqKFu46k-A5i4NTz3.png,CQlfrr8k-lCxMaEY9.png,0,8
Ali CSC,Manama Club, ,z1AKIVRq-bqygZ7dH.png,8hGjkVjC-2Jlfd3kF.png,2,4
Bouri,Al-Hidd, ,8QO770ne-bqygZ7dH.png,hKETde5k-pWyQgjIm.png,1,0
Tadamun Buri,East Riffa, ,YNiRAZA6-SMLhMD1s.png,CSqEU4lC-lCxMaEY9.png,0,1
Umm Al Hassam,Al-Shabbab, ,zm5gvYU0-bqygZ7dH.png,6DyxPlRq-xfd2nhF6.png,0,3
Oostende,Waregem, ,UVDVehS0-2caLaKsq.png,6JNt5MlC-fc7DY1B9.png,3,2
Seraing,Francs Borains, ,t43kHM86-61fjW5A7.png,js6x6dSq-GpPHD4lg.png,1,5
Genk U23,Deinze, ,CrTJx7gT-pjCMKQUf.png,8SgNHH5k-EPEwybjP.png,3,2
Abeilles,FC Loto, ,Mimw4wS0-rHG3J6tE.png,rPQeAekC-drPztuz7.png,0,3
Bani Ganse,Dynamo Parakou, ,GvKoy9BN-G0BrANLc.png,t48HJPR0-4QHDKdds.png,1,1
Buffles du Borgou,Cavaliers, ,vJa7P7UH-QNEfHZk3.png,nVEPuW6k-dxd5iZGF.png,0,0
Dadje,Real Sport, ,Q5NRGSRq-dxd5iZGF.png,EVqBY1UH-W0g3UmAF.png,1,1
Damissa,Bembereke, ,ld8WZMjC-dxd5iZGF.png,U7Cj5HS0-zmwmkyOF.png,2,0
Dynamo Abomey,Hodio, ,p8VPC3T0-drPztuz7.png,xv8KOiBN-zTf9jgWL.png,1,0
Espoir,Tonnerre, ,O2Sp3k86-zTf9jgWL.png,rXgnzLAN-AJ6VTWYn.png,1,0
Pantheres,Takunnin, ,ruMi6PiT-ldh6X0GI.png,2uvI1ASq-WxBM3rSD.png,1,3
Eleven Angels,Nico United, ,tdIhydT0-Whqe5MBc.png,WhE90hVH-2BxvuElH.png,-,-
Morupule,Masitoaka, ,pC7khE86-4QHDKdds.png,WdDnfnBN-2XFN34wM.png,-,-
Botafogo PB,Potiguar de Mossoró, ,GIgM8ajT-0peneAym.png,QPGxXniC-6qNKRDCk.png,2,1
AE Altos,ASA, ,OxSDDxUH-2sqUKrWN.png,tY7I9uSq-E1EyOHIF.png,2,1
Cruzeiro U20,Madureira U20, ,zeXFBzXH-re7YM05n.png,MZOxs25k-CM3ZnPc0.png,1,0
Flamengo RJ U20,Nautico U20, ,8viG5v6k-COUy4N0T.png,U5mKhPQq-4QLxsLE0.png,1,0
Capital Distrito Federal U20,America MG U20, ,b7X7i2A6-Cdpb4toN.png,UswOBJkC-4QLxsLE0.png,0,2
Novorizontino U20,Tiradentes-PI U20, ,4GmijJR0-Kjg6GrcS.png,bDpH92gT-ILHdAUZ2.png,3,0
Atletico GO U20,Corinthians U20, ,tEKfF4hT-EsONvne7.png,zsznhmle-8Q62aX7N.png,1,4
Ituano U20,Criciuma U20, ,t2j1KBWH-WhmQ8a6A.png,fJfVPG86-tl8K2kEn.png,3,0
Coimbra U20,Gremio U20, ,UaZoHeme-KQ9JzUXc.png,dYQzw1Pq-hbGbDJfI.png,2,4
Athletico-PR U20,Ponte Preta U20, ,Am6rCEPq-OIECkXSi.png,Q1bk9d7k-EsONvne7.png,2,1
Prey Veng,Phnom Penh Crown, ,bHr9jJQq-2w113Fgb.png,zoYX1L76-CnwIgY1c.png,0,3
Boeung Ket,Dangkor, ,zoFgGnle-QTV00u0R.png,r1M9wPTH-M31xcW3b.png,4,1
Colombe,Aigle Royal, ,jgX4mjUH-CrTzmp8m.png,K208y1A6-4EDbGg59.png,-,-
Cotonsport,APEJES Academy, ,h2QPfk6k-IcoqV5ye.png,ziQpdiBN-veb0TNn6.png,-,-
Fauve Azur Elite,Avion Academy, ,2cgbqO7k-zX43sNzb.png,QZdcuelC-0vrp0PVT.png,-,-
Fortuna Mfou,Canon Yaounde, ,8bCSaWAN-lGILyKhD.png,zJpgpXjC-K0hhvgY6.png,-,-
Gazelle,Bamenda, ,OIhrBY9N-pzAHrTn5.png,QRACta8k-WbpYXCFI.png,-,-
Les Astres,Bamboutos FC, ,CjpRq1WH-OhsybBXB.png,0CjJBoT0-OUxxBLtn.png,-,-
Stade Renard,UMS de Loum, ,WMmsMvBN-CrTzmp8m.png,j5cGnrle-nP1nSKdT.png,-,-
Union Douala,Dynamo Douala, ,2RiYv2ne-QNEfHZk3.png,67Z22IWH-zX43sNzb.png,-,-
Yong Sports Academy,Fovu Baham, ,8zXxGb7k-4EDbGg59.png,KpqWic5k-8Sy5r3VC.png,-,-
San Carlos,Liberia, ,juvJFEQq-6XjLWQsI.png,CUGEr5BN-Asw8NYvF.png,3,2
Saprissa,Puntarenas FC, ,fHW8xJWH-tnwDCzLD.png,WtexReUH-z1YXka2H.png,3,0
Herediano,Zeledon, ,46TCGSBN-O2l6wJsK.png,nwwn5lSq-YB0DoGZt.png,1,0
Jong Holland,SUBT, ,pK9D17Pq-IceI7FZg.png,O0wHvagT-CYNfPTul.png,2,0
Willemstad,Victory Boys, ,63qAp896-YsPjQ9Qs.png,KpCQlXoe-CYNfPTul.png,0,1
Jong Colombia,Centro Dominguito, ,S6sYl9T0-MqV6zfF0.png,vs5ZvHjC-G6nUF13m.png,1,3
Paphos,Zakakiou, ,8ndjah6k-UH6ir0w2.png,z7WRhL5k-fevv2dQD.png,4,0
Apollon,Aris, ,b9OA1NmC-x4Xh4Pu0.png,692PjeDN-GxoBo0zo.png,0,1
Omonia 29th May,Ol. Nicosia, ,xCwIHVjT-SfRWUwLb.png,WhJNg4Sq-l2Xtf5Mh.png,1,2
Municipal Limeno,Santa Tecla, ,trYUXj86-6eZE5Nlm.png,UXPiFJ6k-UVZMFjiK.png,1,0
FAS,Metapan, ,8GOI43Qq-IJKf4CSg.png,OlGAi986-IJKf4CSg.png,1,1
